[ 2026-09-09 16:43:38,502 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-09 16:43:42,313 ] 66 root - INFO - Performed train test split on the dataset
[ 2026-09-09 16:43:42,313 ] 67 root - INFO - Existing data ingestion component. Train test split is done and train and test file is created.
[ 2026-09-09 16:43:42,313 ] 72 root - INFO - Exporting training dataset to file: [Artifacts\09092026__164338\data_ingestion\train.csv]
[ 2026-09-09 16:43:42,372 ] 78 root - INFO - Exporting test dataset to file: [Artifacts\09092026__164338\data_ingestion\test.csv]
[ 2026-09-09 16:43:42,372 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-09 16:43:42,382 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-09 16:43:42,465 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-09 16:43:42,465 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-09 16:43:42,465 ] 31 root - INFO - Required number of columns: 31
[ 2026-09-09 16:43:42,465 ] 32 root - INFO - Data frame has columns: 31
[ 2026-09-09 16:43:42,465 ] 52 root - INFO - Missing numerical columns: []
[ 2026-09-09 16:43:42,650 ] 28 root - INFO - data Validation Completed
[ 2026-09-09 16:43:42,650 ] 31 root - INFO - data Transformation started
[ 2026-09-09 16:43:42,761 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-09 16:43:42,764 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-09 16:43:42,769 ] 75 root - INFO - Data transformation artifact created: DataTransformationArtifact(transformed_object_file_path='Artifacts\\09092026__164338\\data_transformation\\transfromed_object\\preprocessing.pkl', transformed_train_file_path='Artifacts\\09092026__164338\\data_transformation\\transformed\\train.npy', transformed_test_file_path='Artifacts\\09092026__164338\\data_transformation\\transformed\\test.npy')
[ 2026-09-09 16:43:42,770 ] 35 root - INFO - data Transformation completed
[ 2026-09-09 16:43:42,770 ] 37 root - INFO - Model Training sstared
[ 2026-09-09 16:48:40,577 ] 49 root - INFO - Entered the save_object method MainUtils class
[ 2026-09-09 16:48:40,619 ] 55 root - INFO - Existed the save_object method of Mainutils class
[ 2026-09-09 16:48:40,620 ] 173 root - INFO - Model trainer artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\09092026__164338\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906135699838575, precision_score=0.9906163673385866, recall_score=0.9906151062867481), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9664910957121051, precision_score=0.9665821432010127, recall_score=0.9665309814563546))
[ 2026-09-09 16:48:40,625 ] 42 root - INFO - Model Training artifact created
